rank,school,name,publication_count,field,field_source,ssrn_url_or_search_link,ssrn_match_type,ssrn_match_evidence,source_group,source_window,source_journals,byu_profile_url,utd_journal_breakdown,utd_year_breakdown,school_unit,notes
84,Massachusetts Institute of Technology (MIT),Rodrigo S Verdi,4,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Rodrigo+S+Verdi+%22Massachusetts+Institute+of+Technology+%28MIT%29%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=1073&authorname=Verdi, Rodrigo S.",Journal of Accounting and Economics: 2; The Accounting Review: 2,2025: 1; 2024: 1; 2023: 1; 2021: 1,Sloan School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
85,New York University (NYU),Stephen G Ryan,4,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Stephen+G+Ryan+%22New+York+University+%28NYU%29%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=1203&authorname=Ryan, Stephen G.",The Accounting Review: 2; Journal of Accounting Research: 2,2025: 2; 2022: 1; 2021: 1,Leonard N Stern School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
86,Temple University,Sudipta Basu,4,Audit; Financial; Managerial; Other Accounting Topics; Archival; Experimental; Other Methods,BYU interest areas,https://search.brave.com/search?q=Sudipta+Basu+%22Temple+University%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=2480&authorname=Basu, Sudipta",The Accounting Review: 3; Journal of Accounting and Economics: 1,2025: 1; 2024: 1; 2023: 1; 2022: 1,The Fox School of Business and Management,Publication_count counts distinct UTD article records for this author-school affiliation.
87,University of Auckland,W Robert Knechel,4,Audit; Archival; Experimental,BYU interest areas,https://search.brave.com/search?q=W+Robert+Knechel+%22University+of+Auckland%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=595&authorname=Knechel, W. Robert",Journal of Accounting Research: 2; The Accounting Review: 2,2023: 1; 2022: 1; 2021: 2,The University of Auckland Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
88,National University of Singapore (NUS),Yupeng Lin,4,Financial; Tax; Archival,BYU interest areas,https://search.brave.com/search?q=Yupeng+Lin+%22National+University+of+Singapore+%28NUS%29%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6675&authorname=Lin, Yupeng",Journal of Accounting and Economics: 2; The Accounting Review: 2,2025: 1; 2024: 1; 2023: 1; 2021: 1,NUS Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
89,University of Colorado at Boulder,A Nicole Skinner,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=%22A+Nicole+Skinner%22+%22University+of+Colorado+at+Boulder%22+SSRN,search_link,No high-confidence SSRN author page found by automated search.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9376&authorname=Skinner, A. Nicole",The Accounting Review: 3,2025: 1; 2024: 2,Leeds School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
90,University of Georgia,A Nicole Skinner,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=A+Nicole+Skinner+%22University+of+Georgia%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9376&authorname=Skinner, A. Nicole",The Accounting Review: 2; Journal of Accounting Research: 1,2023: 1; 2022: 2,Terry College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
91,Northwestern University,Aaron Yoon,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Aaron+Yoon+%22Northwestern+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,The Accounting Review: 2; Journal of Accounting and Economics: 1,2025: 2; 2021: 1,Kellogg School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
92,Hong Kong University of Science and Technology (HKUST),Allen H Huang,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Allen+H+Huang+%22Hong+Kong+University+of+Science+and+Technology+%28HKUST%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=1601&authorname=Huang, Allen H.",The Accounting Review: 1; Journal of Accounting Research: 1; Journal of Accounting and Economics: 1,2023: 1; 2022: 2,Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
93,University of Pennsylvania,Allison Nicoletti,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1693320,ssrn_author_page,Ssrn privpapers.ssrn.com › sol3 › cf_dev › AbsByAuth.cfm Author Page for Allison Nicoletti :: SSRN,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7112&authorname=Nicoletti, Allison",The Accounting Review: 2; Journal of Accounting Research: 1,2025: 1; 2023: 1; 2022: 1,The Wharton School,Publication_count counts distinct UTD article records for this author-school affiliation.
94,Singapore Management University,An-Ping Lin,3,Financial; Archival; Managerial,BYU interest areas,https://search.brave.com/search?q=An-Ping+Lin+%22Singapore+Management+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6677&authorname=Lin, An-Ping",Journal of Accounting and Economics: 2; The Accounting Review: 1,2025: 1; 2022: 2,Lee Kong Chian School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
95,University of Colorado at Boulder,Andrea Pawliczek,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Andrea+Pawliczek+%22University+of+Colorado+at+Boulder%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9375&authorname=Pawliczek, Andrea",The Accounting Review: 2; Journal of Accounting Research: 1,2024: 1; 2023: 1; 2022: 1,Leeds School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
96,University of Texas at Austin,Andrew Belnap,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Andrew+Belnap+%22University+of+Texas+at+Austin%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9920&authorname=Belnap, Andrew",Journal of Accounting and Economics: 3,2024: 1; 2023: 2,McCombs School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
97,Massachusetts Institute of Technology (MIT),Andrew G Sutherland,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Andrew+G+Sutherland+%22Massachusetts+Institute+of+Technology+%28MIT%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7004&authorname=Sutherland, Andrew G.",The Accounting Review: 1; Journal of Accounting Research: 1; Journal of Accounting and Economics: 1,2024: 3,Sloan School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
98,Ohio State University,Andrew Van Buskirk,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Andrew+Van+Buskirk+%22Ohio+State+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=1367&authorname=Van Buskirk, Andrew",The Accounting Review: 2; Journal of Accounting and Economics: 1,2021: 3,Fisher College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
99,Yale University,Aneesh Raghunandan,3,Financial; Other Accounting Topics; Analytical; Archival,BYU interest areas,https://search.brave.com/search?q=Aneesh+Raghunandan+%22Yale+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8656&authorname=Raghunandan, Aneesh",Journal of Accounting Research: 2; The Accounting Review: 1,2025: 3,School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
100,Stanford University,Anne Beyer,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Anne+Beyer+%22Stanford+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=2436&authorname=Beyer, Anne",Journal of Accounting and Economics: 2; The Accounting Review: 1,2024: 1; 2021: 2,Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
101,University of Illinois at Urbana-Champaign,Anne M Thompson,3,Audit; Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Anne+M+Thompson+%22University+of+Illinois+at+Urbana-Champaign%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=4512&authorname=Thompson, Anne M.",The Accounting Review: 1; Journal of Accounting and Economics: 1; Journal of Accounting Research: 1,2023: 1; 2022: 2,Gies College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
102,Bocconi University / Universita Bocconi,Antonio Marra,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Antonio+Marra+%22Bocconi+University+%2F+Universita+Bocconi%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6202&authorname=Marra, Antonio",The Accounting Review: 2; Journal of Accounting Research: 1,2024: 1; 2022: 1; 2021: 1,SDA School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
103,Yale University,Anya Nakhmurina,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Anya+Nakhmurina+%22Yale+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9759&authorname=Nakhmurina, Anya",Journal of Accounting and Economics: 2; The Accounting Review: 1,2025: 1; 2024: 1; 2022: 1,School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
104,University of London,Aytekin Ertan,3,Financial; Archival; Non-Accounting Topics,BYU interest areas,https://search.brave.com/search?q=Aytekin+Ertan+%22University+of+London%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7466&authorname=Ertan, Aytekin",The Accounting Review: 2; Journal of Accounting and Economics: 1,2025: 1; 2021: 2,London Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
105,Seoul National University (SNU),Bok Baik,3,Financial,BYU interest areas,https://search.brave.com/search?q=Bok+Baik+%22Seoul+National+University+%28SNU%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=599&authorname=Baik, Bok",Journal of Accounting and Economics: 1; Journal of Accounting Research: 1; The Accounting Review: 1,2025: 1; 2024: 1; 2022: 1,College of Business Administration / Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
106,Texas A&M University at College Station,Bradford F Hepfer,3,Financial; Tax; Archival,BYU interest areas,https://search.brave.com/search?q=Bradford+F+Hepfer+%22Texas+A%26M+University+at+College+Station%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7795&authorname=Hepfer, Bradford F.",The Accounting Review: 2; Journal of Accounting and Economics: 1,2025: 1; 2023: 1; 2021: 1,Mays Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
107,University of North Carolina at Chapel Hill,Bradley E Hendricks,3,Financial; Non-Accounting Topics; Archival,BYU interest areas,https://search.brave.com/search?q=Bradley+E+Hendricks+%22University+of+North+Carolina+at+Chapel+Hill%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6775&authorname=Hendricks, Bradley E.",The Accounting Review: 3,2023: 2; 2022: 1,Kenan-Flagler Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
108,University of Utah,Brian Cadman,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Brian+Cadman+%22University+of+Utah%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3335&authorname=Cadman, Brian",The Accounting Review: 2; Journal of Accounting Research: 1,2024: 1; 2023: 1; 2021: 1,David Eccles School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
109,Indiana University at Bloomington,Brian M Williams,3,Financial; Tax; Archival,BYU interest areas,https://search.brave.com/search?q=Brian+M+Williams+%22Indiana+University+at+Bloomington%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6636&authorname=Williams, Brian M.",The Accounting Review: 3,2023: 1; 2022: 1; 2021: 1,Kelley School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
110,University of Colorado at Boulder,Bryce Schonberger,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Bryce+Schonberger+%22University+of+Colorado+at+Boulder%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8612&authorname=Schonberger, Bryce",The Accounting Review: 2; Journal of Accounting Research: 1,2024: 1; 2023: 2,Leeds School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
111,Hong Kong University of Science and Technology (HKUST),Chao Tang,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Chao+Tang+%22Hong+Kong+University+of+Science+and+Technology+%28HKUST%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=10474&authorname=Tang, Chao",Journal of Accounting and Economics: 2; The Accounting Review: 1,2025: 1; 2024: 1; 2023: 1,Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
112,Monash University,Chen Chen,3,Audit; Financial; Managerial,BYU interest areas,https://search.brave.com/search?q=Chen+Chen+%22Monash+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=4541&authorname=Chen, Chen",The Accounting Review: 2; Journal of Accounting Research: 1,2024: 1; 2023: 1; 2022: 1,Monash Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
113,Ludwig Maximilian University of Munich (LMU) (Munich University),Christian Hofmann,3,Financial; Managerial; Analytical; Archival,BYU interest areas,https://search.brave.com/search?q=Christian+Hofmann+%22Ludwig+Maximilian+University+of+Munich+%28LMU%29+%28Munich+University%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=1585&authorname=Hofmann, Christian",Journal of Accounting Research: 2; The Accounting Review: 1,2024: 3,"Faculty of Business Administration - Munich School of Management, Munich Business School",Publication_count counts distinct UTD article records for this author-school affiliation.
114,University of Chicago,Christian Leuz,3,Audit; Financial; Other Accounting Topics; Non-Accounting Topics; Analytical; Archival; Managerial,BYU interest areas,https://search.brave.com/search?q=Christian+Leuz+%22University+of+Chicago%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=375&authorname=Leuz, Christian",Journal of Accounting and Economics: 2; The Accounting Review: 1,2025: 1; 2022: 1; 2021: 1,Booth School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
115,WU Vienna University of Economics and Business / Wirtschafts Universitat Wien,Christoph Feichter,3,Managerial; Experimental,BYU interest areas,https://search.brave.com/search?q=Christoph+Feichter+%22WU+Vienna+University+of+Economics+and+Business+%2F+Wirtschafts+Universitat+Wien%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7542&authorname=Feichter, Christoph",Journal of Accounting Research: 2; The Accounting Review: 1,2023: 1; 2022: 1; 2021: 1,Vienna University of Economics and Business,Publication_count counts distinct UTD article records for this author-school affiliation.
116,University of Oregon,Dane M Christensen,3,Audit; Financial; Tax; Archival,BYU interest areas,https://search.brave.com/search?q=Dane+M+Christensen+%22University+of+Oregon%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6672&authorname=Christensen, Dane M.",The Accounting Review: 2; Journal of Accounting Research: 1,2024: 1; 2023: 1; 2022: 1,Charles H. Lundquist College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
117,University of Miami,Daniele Macciocchi,3,Financial; Archival; Managerial,BYU interest areas,https://search.brave.com/search?q=Daniele+Macciocchi+%22University+of+Miami%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9481&authorname=Macciocchi, Daniele",The Accounting Review: 1; Journal of Accounting Research: 1; Journal of Accounting and Economics: 1,2023: 1; 2022: 2,School of Business Administration / Herbert Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
118,Stanford University,David F Larcker,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=David+F+Larcker+%22Stanford+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,Journal of Accounting Research: 2; Journal of Accounting and Economics: 1,2024: 2; 2021: 1,Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
119,New Economic School,Davide Cianciaruso,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Davide+Cianciaruso+%22New+Economic+School%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7779&authorname=Cianciaruso, Davide",The Accounting Review: 2; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2023: 1,,Publication_count counts distinct UTD article records for this author-school affiliation.
120,"City University of New York, Baruch College",Edward Xuejun Li,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Edward+Xuejun+Li+%22City+University+of+New+York%2C+Baruch+College%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3321&authorname=Li, Edward Xuejun",The Accounting Review: 2; Journal of Accounting and Economics: 1,2025: 1; 2024: 1; 2021: 1,Zicklin School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
121,"Colorado State University, Ft. Collins",Elizabeth N Cowle,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Elizabeth+N+Cowle+%22Colorado+State+University%2C+Ft.+Collins%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,The Accounting Review: 2; Journal of Accounting Research: 1,2025: 1; 2022: 2,College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
122,Temple University,Enrique A Gomez,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Enrique+A+Gomez+%22Temple+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,The Accounting Review: 3,2024: 2; 2023: 1,The Fox School of Business and Management,Publication_count counts distinct UTD article records for this author-school affiliation.
123,Carnegie Mellon University,Gaoqing Zhang,3,Financial; Analytical,BYU interest areas,https://search.brave.com/search?q=Gaoqing+Zhang+%22Carnegie+Mellon+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6288&authorname=Zhang, Gaoqing",The Accounting Review: 2; Journal of Accounting Research: 1,2025: 3,Tepper School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
124,University of California at San Diego,Gerardo Perez-Cavazos,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Gerardo+Perez-Cavazos+%22University+of+California+at+San+Diego%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8111&authorname=Perez Cavazos, Gerardo",The Accounting Review: 2; Journal of Accounting Research: 1,2024: 1; 2023: 1; 2022: 1,Rady School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
125,University of Iowa,H Scott Asay,3,Financial; Experimental; Managerial,BYU interest areas,https://search.brave.com/search?q=H+Scott+Asay+%22University+of+Iowa%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7121&authorname=Asay, H. Scott",The Accounting Review: 3,2024: 1; 2023: 1; 2022: 1,Henry B. Tippie College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
126,University of Chicago,Hans B Christensen,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Hans+B+Christensen+%22University+of+Chicago%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3253&authorname=Christensen, Hans B.",Journal of Accounting and Economics: 2; The Accounting Review: 1,2022: 3,Booth School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
127,Duke University,Hao Xue,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Hao+Xue+%22Duke+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6705&authorname=Xue, Hao",Journal of Accounting and Economics: 2; The Accounting Review: 1,2025: 1; 2023: 1; 2021: 1,The Fuqua School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
